"","GO_ID","Term"
"1","GO:0000001","mitochondrion inheritance"
"2","GO:0000002","mitochondrial genome maintenance"
"3","GO:0000003","reproduction"
"4","GO:0000011","vacuole inheritance"
"5","GO:0000012","single strand break repair"
"6","GO:0000017","alpha-glucoside transport"
"7","GO:0000018","regulation of DNA recombination"
"8","GO:0000019","regulation of mitotic recombination"
"9","GO:0000022","mitotic spindle elongation"
"10","GO:0000023","maltose metabolic process"
"11","GO:0000024","maltose biosynthetic process"
"12","GO:0000025","maltose catabolic process"
"13","GO:0000027","ribosomal large subunit assembly"
"14","GO:0000028","ribosomal small subunit assembly"
"15","GO:0000032","cell wall mannoprotein biosynthetic process"
"16","GO:0000038","very long-chain fatty acid metabolic process"
"17","GO:0000041","transition metal ion transport"
"18","GO:0000045","autophagosome assembly"
"19","GO:0000050","urea cycle"
"20","GO:0000052","citrulline metabolic process"
"21","GO:0000053","argininosuccinate metabolic process"
"22","GO:0000054","ribosomal subunit export from nucleus"
"23","GO:0000055","ribosomal large subunit export from nucleus"
"24","GO:0000056","ribosomal small subunit export from nucleus"
"25","GO:0000070","mitotic sister chromatid segregation"
"26","GO:0000073","initial mitotic spindle pole body separation"
"27","GO:0000075","cell cycle checkpoint signaling"
"28","GO:0000076","DNA replication checkpoint signaling"
"29","GO:0000077","DNA damage checkpoint signaling"
"30","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity"
"31","GO:0000080","mitotic G1 phase"
"32","GO:0000082","G1/S transition of mitotic cell cycle"
"33","GO:0000083","regulation of transcription involved in G1/S transition of mitotic cell cycle"
"34","GO:0000084","mitotic S phase"
"35","GO:0000085","mitotic G2 phase"
"36","GO:0000086","G2/M transition of mitotic cell cycle"
"37","GO:0000087","mitotic M phase"
"38","GO:0000088","mitotic prophase"
"39","GO:0000089","mitotic metaphase"
"40","GO:0000090","mitotic anaphase"
"41","GO:0000091","mitotic anaphase A"
"42","GO:0000092","mitotic anaphase B"
"43","GO:0000093","mitotic telophase"
"44","GO:0000096","sulfur amino acid metabolic process"
"45","GO:0000097","sulfur amino acid biosynthetic process"
"46","GO:0000098","sulfur amino acid catabolic process"
"47","GO:0000101","sulfur amino acid transport"
"48","GO:0000103","sulfate assimilation"
"49","GO:0000105","histidine biosynthetic process"
"50","GO:0000117","regulation of transcription involved in G2/M transition of mitotic cell cycle"
"51","GO:0000122","negative regulation of transcription by RNA polymerase II"
"52","GO:0000128","flocculation"
"53","GO:0000132","establishment of mitotic spindle orientation"
"54","GO:0000147","actin cortical patch assembly"
"55","GO:0000154","rRNA modification"
"56","GO:0000160","phosphorelay signal transduction system"
"57","GO:0000161","osmosensory signaling MAPK cascade"
"58","GO:0000162","tryptophan biosynthetic process"
"59","GO:0000165","MAPK cascade"
"60","GO:0000183","rDNA heterochromatin assembly"
"61","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
"62","GO:0000196","cell wall integrity MAPK cascade"
"63","GO:0000209","protein polyubiquitination"
"64","GO:0000212","meiotic spindle organization"
"65","GO:0000226","microtubule cytoskeleton organization"
"66","GO:0000236","mitotic prometaphase"
"67","GO:0000237","leptotene"
"68","GO:0000238","zygotene"
"69","GO:0000239","pachytene"
"70","GO:0000240","diplotene"
"71","GO:0000241","diakinesis"
"72","GO:0000244","spliceosomal tri-snRNP complex assembly"
"73","GO:0000245","spliceosomal complex assembly"
"74","GO:0000255","allantoin metabolic process"
"75","GO:0000256","allantoin catabolic process"
"76","GO:0000266","mitochondrial fission"
"77","GO:0000270","peptidoglycan metabolic process"
"78","GO:0000271","polysaccharide biosynthetic process"
"79","GO:0000272","polysaccharide catabolic process"
"80","GO:0000278","mitotic cell cycle"
"81","GO:0000279","M phase"
"82","GO:0000280","nuclear division"
"83","GO:0000281","mitotic cytokinesis"
"84","GO:0000282","cellular bud site selection"
"85","GO:0000288","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
"86","GO:0000289","nuclear-transcribed mRNA poly(A) tail shortening"
"87","GO:0000290","deadenylation-dependent decapping of nuclear-transcribed mRNA"
"88","GO:0000291","nuclear-transcribed mRNA catabolic process, exonucleolytic"
"89","GO:0000292","RNA fragment catabolic process"
"90","GO:0000294","nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay"
"91","GO:0000296","spermine transport"
"92","GO:0000301","retrograde transport, vesicle recycling within Golgi"
"93","GO:0000302","response to reactive oxygen species"
"94","GO:0000303","response to superoxide"
"95","GO:0000304","response to singlet oxygen"
"96","GO:0000305","response to oxygen radical"
"97","GO:0000316","sulfite transport"
"98","GO:0000320","re-entry into mitotic cell cycle"
"99","GO:0000321","re-entry into mitotic cell cycle after pheromone arrest"
"100","GO:0000335","negative regulation of transposition, DNA-mediated"
"101","GO:0000336","positive regulation of transposition, DNA-mediated"
"102","GO:0000337","regulation of transposition, DNA-mediated"
"103","GO:0000338","protein deneddylation"
"104","GO:0000348","mRNA branch site recognition"
"105","GO:0000349","generation of catalytic spliceosome for first transesterification step"
"106","GO:0000350","generation of catalytic spliceosome for second transesterification step"
"107","GO:0000352","trans assembly of SL-containing precatalytic spliceosome"
"108","GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP"
"109","GO:0000354","cis assembly of pre-catalytic spliceosome"
"110","GO:0000365","mRNA trans splicing, via spliceosome"
"111","GO:0000366","intergenic mRNA trans splicing"
"112","GO:0000372","Group I intron splicing"
"113","GO:0000373","Group II intron splicing"
"114","GO:0000374","Group III intron splicing"
"115","GO:0000375","RNA splicing, via transesterification reactions"
"116","GO:0000376","RNA splicing, via transesterification reactions with guanosine as nucleophile"
"117","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"
"118","GO:0000378","RNA exon ligation"
"119","GO:0000379","tRNA-type intron splice site recognition and cleavage"
"120","GO:0000380","alternative mRNA splicing, via spliceosome"
