"","Coefficient","CpG"
"cg00006787",0.190502573618651,"cg00006787"
"cg00054496",2.48480384305279,"cg00054496"
"cg00458878",0.885048462533873,"cg00458878"
"cg00459119",0.71167157868992,"cg00459119"
"cg03175417",2.57552989848703,"cg03175417"
"cg03366574",3.65171862385946,"cg03366574"
"cg04094193",1.0995451559763,"cg04094193"
"cg04234014",0.431319535733741,"cg04234014"
"cg05396212",1.33694126213991,"cg05396212"
"cg06015525",1.19767505691798,"cg06015525"
"cg06507987",0.761820784233661,"cg06507987"
"cg06542681",0.182136502629557,"cg06542681"
"cg07458308",3.23157923182298,"cg07458308"
"cg08332990",0.24012804614237,"cg08332990"
"cg08726900",0.889560725170022,"cg08726900"
"cg08770961",0.346209804840539,"cg08770961"
"cg10682299",2.0111197652013,"cg10682299"
"cg11974796",0.743728884700512,"cg11974796"
"cg12132563",0.596665370359724,"cg12132563"
"cg12506165",0.662906779094794,"cg12506165"
"cg13029847",0.579198597681093,"cg13029847"
"cg13315970",1.46288269692057,"cg13315970"
"cg13714749",0.202928643045772,"cg13714749"
"cg14205663",1.20466166625106,"cg14205663"
"cg15163603",-0.0560313824507363,"cg15163603"
"cg16086130",1.01566130453033,"cg16086130"
"cg16181396",0.615237628672888,"cg16181396"
"cg16374999",0.894970473432127,"cg16374999"
"cg16552271",0.13805357474227,"cg16552271"
"cg17340519",0.478133871816489,"cg17340519"
"cg17448336",0.176932038122717,"cg17448336"
"cg19573580",0.0451658231864754,"cg19573580"
"cg20120512",0.18426738167674,"cg20120512"
"cg22897615",0.922889804309041,"cg22897615"
"cg23500537",1.60839734917851,"cg23500537"
"cg25309759",0.126327373769414,"cg25309759"
"cg26319015",-0.971024531359004,"cg26319015"
"cg26703456",0.524840983622618,"cg26703456"
"cg27506442",1.35883952410285,"cg27506442"
"cg01021385",-6.47820489059865,"cg01021385"
"cg01055871",-1.29768016055934,"cg01055871"
"cg02120714",-0.146678835182036,"cg02120714"
"cg02603192",-1.29454769100458,"cg02603192"
"cg02690643",-6.83120951201321,"cg02690643"
"cg03725309",-1.52530372986937,"cg03725309"
"cg03940776",-1.08012203997888,"cg03940776"
"cg04531097",-0.27594820563786,"cg04531097"
"cg04600000",-0.21205691748572,"cg04600000"
"cg05876069",-0.993507889777922,"cg05876069"
"cg06434490",-1.05852319721596,"cg06434490"
"cg06758350",-0.0164156888330751,"cg06758350"
"cg06870868",-8.319910348869,"cg06870868"
"cg07125991",-1.58850639171419,"cg07125991"
"cg07368443",-0.410727986717887,"cg07368443"
"cg07556261",-0.784821905104332,"cg07556261"
"cg07701307",-0.840215847547929,"cg07701307"
"cg07805730",-4.98287054860549,"cg07805730"
"cg08035694",-0.0926066137056279,"cg08035694"
"cg08913523",-1.54190818422977,"cg08913523"
"cg08939394",-0.408533942115325,"cg08939394"
"cg09612099",-2.47386656234917,"cg09612099"
"cg10668363",-3.0835456379858,"cg10668363"
"cg10763288",-0.365432888011558,"cg10763288"
"cg10866062",-0.000985459707194553,"cg10866062"
"cg11430075",-0.0591676695237493,"cg11430075"
"cg13221458",-0.198947059888837,"cg13221458"
"cg14198223",-3.88882641571844,"cg14198223"
"cg14205864",-1.53609830643473,"cg14205864"
"cg15809217",-0.467536152597301,"cg15809217"
"cg16558770",-0.342806900164486,"cg16558770"
"cg17232357",-0.102902075301823,"cg17232357"
"cg17579075",-1.91361427155906,"cg17579075"
"cg17799287",-0.543450621738802,"cg17799287"
"cg18014547",-1.88035957494361,"cg18014547"
"cg18860310",-0.0239660389143975,"cg18860310"
"cg18882687",-1.05930852985752,"cg18882687"
"cg19178742",-1.69052457326543,"cg19178742"
"cg19306307",-1.40927459984143,"cg19306307"
"cg20421914",-5.01598553406555,"cg20421914"
"cg20631335",-6.46846380369643,"cg20631335"
"cg22016818",-3.01010250099063,"cg22016818"
"cg22713941",-1.96814024260742,"cg22713941"
"cg24553862",-1.16645408583307,"cg24553862"
"cg24576260",-0.486201481447924,"cg24576260"
"cg24594979",-0.138450429553246,"cg24594979"
"cg25231478",-2.40336203599712,"cg25231478"
"cg25424279",-2.05394598072608,"cg25424279"
"cg25922329",-0.43623582604853,"cg25922329"
"cg25992382",-0.127654323851464,"cg25992382"
"cg26617272",-1.68048408559755,"cg26617272"
"cg27033919",-0.654922866681383,"cg27033919"
