"","Coefficient","CpG"
"cg00127591",7.83216194847395,"cg00127591"
"cg00296189",12.2142864262522,"cg00296189"
"cg00518989",8.02716206438154,"cg00518989"
"cg00666978",45.5842820360417,"cg00666978"
"cg00899883",2.21287797934933,"cg00899883"
"cg01587390",3.30290139305375,"cg01587390"
"cg01779934",3.98774995835482,"cg01779934"
"cg01788025",0.77304451692013,"cg01788025"
"cg02389682",6.56397943054885,"cg02389682"
"cg02484633",25.3385942908934,"cg02484633"
"cg03063057",0.735153794754218,"cg03063057"
"cg03917020",2.52860964087344,"cg03917020"
"cg04081392",2.23040266393707,"cg04081392"
"cg04224041",0.282143935826454,"cg04224041"
"cg04514998",2.55897299889777,"cg04514998"
"cg04796775",9.42863332585287,"cg04796775"
"cg04842828",21.5273070647943,"cg04842828"
"cg05076775",35.5006486762806,"cg05076775"
"cg05198969",2.88190073746183,"cg05198969"
"cg05275153",3.54467528572749,"cg05275153"
"cg06955158",6.5084204871363,"cg06955158"
"cg07166216",6.37849208954982,"cg07166216"
"cg07381973",3.51568022957116,"cg07381973"
"cg07390459",14.325957216068,"cg07390459"
"cg07528772",1.95411119442161,"cg07528772"
"cg07894586",-0.496213766008674,"cg07894586"
"cg07959138",0.536963096674347,"cg07959138"
"cg08155338",8.03504057015793,"cg08155338"
"cg08190044",10.243776907027,"cg08190044"
"cg08600218",0.488449968208165,"cg08600218"
"cg08618451",7.01631770293557,"cg08618451"
"cg09476997",9.66353844529652,"cg09476997"
"cg09677007",1.71137182566739,"cg09677007"
"cg09985745",1.17603775901486,"cg09985745"
"cg10053187",4.69019285027448,"cg10053187"
"cg10527635",0.606150284298726,"cg10527635"
"cg10864056",0.294846401929302,"cg10864056"
"cg10878459",58.080785137245,"cg10878459"
"cg10894807",10.1841796990589,"cg10894807"
"cg11265319",10.9818102353491,"cg11265319"
"cg11436430",7.58007858699392,"cg11436430"
"cg11469627",5.94341509984997,"cg11469627"
"cg12374732",0.631479353170554,"cg12374732"
"cg12442108",1.55210849877342,"cg12442108"
"cg13210470",1.28016271304212,"cg13210470"
"cg13596520",9.9182214899215,"cg13596520"
"cg13798270",2.48741975035307,"cg13798270"
"cg14409507",1.46713139546063,"cg14409507"
"cg14519125",16.6632370285992,"cg14519125"
"cg14529412",0.293049904620105,"cg14529412"
"cg14716780",3.8149253646362,"cg14716780"
"cg14866740",7.94616612977393,"cg14866740"
"cg15228928",1.10273200017295,"cg15228928"
"cg15459165",0.581421816478436,"cg15459165"
"cg15593337",13.1013065493527,"cg15593337"
"cg15978097",4.05584628457811,"cg15978097"
"cg16086269",8.33050894060232,"cg16086269"
"cg16256342",2.72063200722366,"cg16256342"
"cg16402817",5.67994553268974,"cg16402817"
"cg16474643",2.47858074308141,"cg16474643"
"cg17014849",0.284894947626827,"cg17014849"
"cg17057218",2.78192663963775,"cg17057218"
"cg17421143",2.58821241164263,"cg17421143"
"cg17448127",3.35685599709953,"cg17448127"
"cg17526952",0.957217727086969,"cg17526952"
"cg18257026",22.3727574553686,"cg18257026"
"cg18390621",-5.29514903432188,"cg18390621"
"cg18391955",25.1707746893563,"cg18391955"
"cg19145387",1.22350743638201,"cg19145387"
"cg19233405",-3.92653002901334,"cg19233405"
"cg19441646",0.227472216328342,"cg19441646"
"cg19450145",5.72957519728094,"cg19450145"
"cg21328643",26.8567917300526,"cg21328643"
"cg21706343",15.6270269957454,"cg21706343"
"cg21772589",4.31877674006158,"cg21772589"
"cg22126033",7.96229491993269,"cg22126033"
"cg22276896",11.3899738375027,"cg22276896"
"cg22399111",-3.15659630317042,"cg22399111"
"cg22437284",5.10570216167225,"cg22437284"
"cg22454060",11.1264322871208,"cg22454060"
"cg22939113",0.00684441126608444,"cg22939113"
"cg23039227",2.63671810331518,"cg23039227"
"cg23097686",7.5063290089468,"cg23097686"
"cg23714019",1.71412660508733,"cg23714019"
"cg23885512",19.7735335810622,"cg23885512"
"cg24309049",22.2079760168298,"cg24309049"
"cg24622205",0.301641631406559,"cg24622205"
"cg25161429",1.17677448834285,"cg25161429"
"cg25436766",1.46874391368182,"cg25436766"
"cg26074552",8.32319145919695,"cg26074552"
"cg26161885",1.25798869867931,"cg26161885"
"cg26484086",41.3559920088058,"cg26484086"
"cg26827081",6.34299288834968,"cg26827081"
"cg26869501",3.51047860638547,"cg26869501"
"ch.10.2374052F",10.4697354558691,"ch.10.2374052F"
"ch.10.80061816F",3.72611628032212,"ch.10.80061816F"
"ch.12.1993261F",13.7775289685913,"ch.12.1993261F"
"ch.12.41606343F",16.3327576552907,"ch.12.41606343F"
"ch.15.23688912F",3.26599273987558,"ch.15.23688912F"
"ch.2.71774667F",4.9776463441311,"ch.2.71774667F"
"ch.20.1019750F",6.05292660439268,"ch.20.1019750F"
"ch.9.1173620F",5.39565994420767,"ch.9.1173620F"
"cg00101453",-54.4926530434951,"cg00101453"
"cg00963305",-2.78136867422985,"cg00963305"
"cg02154874",-20.8682940324876,"cg02154874"
"cg02281226",-1.19378366774538,"cg02281226"
"cg02392774",-33.0895019536647,"cg02392774"
"cg02679291",-1.94163102112984,"cg02679291"
"cg02756683",-11.8363883040227,"cg02756683"
"cg03176411",-8.42300823791326,"cg03176411"
"cg03265892",-14.8865766152461,"cg03265892"
"cg04205769",-0.000297348365532674,"cg04205769"
"cg04428853",-8.01370339802024,"cg04428853"
"cg04598325",-12.3696020179694,"cg04598325"
"cg04685880",-9.66339472576548,"cg04685880"
"cg04817113",-30.5935452264895,"cg04817113"
"cg04957903",-2.78913890811571,"cg04957903"
"cg05140079",-9.9824823622821,"cg05140079"
"cg05312104",-14.5567230910004,"cg05312104"
"cg05927830",-15.4390060380221,"cg05927830"
"cg06035369",-12.6118196596334,"cg06035369"
"cg07065054",-2.03418424378967,"cg07065054"
"cg09390594",-3.37794244684751,"cg09390594"
"cg09698065",-9.55733953316826,"cg09698065"
"cg10336193",-0.859366773674043,"cg10336193"
"cg11804334",-12.9284714561054,"cg11804334"
